cluster_id	Amplitude
0	9.9
1	10.3
2	10.2
3	9.6
4	15.6
5	10.8
6	17.9
7	13.4
8	9.9
9	10.0
10	17.2
11	13.2
12	13.4
13	11.1
14	9.4
15	9.0
16	21.1
17	13.7
18	9.3
19	10.0
20	16.9
21	15.5
22	13.1
23	10.7
24	10.5
25	21.6
26	11.7
27	9.6
28	13.7
29	11.0
30	13.9
31	14.7
32	10.9
33	11.3
34	9.8
35	22.1
36	41.0
37	9.5
38	21.7
39	9.6
40	9.5
41	48.5
42	9.8
43	42.6
44	13.2
45	10.6
46	13.7
47	10.0
48	16.2
49	12.2
50	15.2
51	12.1
52	13.8
53	20.0
54	61.6
55	18.4
56	14.9
57	12.1
58	11.1
59	23.6
60	32.3
61	9.4
62	12.5
63	10.8
64	9.6
65	22.3
66	29.7
67	17.0
68	23.6
69	38.2
70	17.2
71	19.9
72	18.0
73	11.2
74	9.9
75	20.6
76	15.8
77	55.5
78	32.9
79	9.7
80	35.9
81	24.2
82	37.6
83	12.4
84	39.7
85	12.5
86	29.0
87	9.9
88	12.6
89	12.8
90	49.0
91	28.7
92	17.6
93	28.3
94	11.2
95	12.7
96	31.0
97	11.1
98	9.8
99	10.1
100	43.0
101	16.1
102	41.4
103	36.0
104	17.2
105	13.1
106	23.1
107	28.6
108	14.6
109	9.5
110	10.9
111	21.0
112	32.3
113	10.9
114	9.7
115	11.6
116	8.2
117	26.0
118	19.6
119	10.8
120	85.8
121	18.5
122	10.4
123	23.9
124	9.9
125	22.1
126	12.0
127	30.7
128	10.5
129	30.4
130	18.7
131	16.8
132	12.8
133	20.9
134	9.7
135	12.3
136	29.0
137	9.7
138	12.9
139	11.8
140	18.1
141	25.8
142	20.9
143	9.7
144	28.4
145	18.5
146	12.7
147	19.3
148	18.5
149	10.5
150	57.2
151	13.0
152	12.9
153	9.6
154	14.3
155	38.9
156	34.2
157	11.6
158	11.5
159	14.7
160	12.3
161	12.8
162	12.2
163	22.4
164	9.3
165	22.7
166	23.9
167	10.8
168	16.7
169	10.6
170	17.6
171	10.0
172	12.5
173	13.8
174	11.1
175	11.3
176	12.7
177	15.0
178	10.8
179	14.5
180	16.5
181	13.2
182	19.1
183	30.9
184	38.4
185	13.2
186	9.6
187	12.8
188	28.6
189	34.8
190	26.9
191	9.6
192	13.7
193	13.0
194	13.2
195	13.7
196	9.2
197	33.0
198	18.3
199	19.6
200	28.0
201	14.4
202	10.6
203	30.5
204	8.2
205	14.9
206	31.2
207	16.5
208	30.4
209	9.3
210	16.3
211	14.7
212	9.3
213	18.2
214	13.6
215	10.3
216	35.6
217	10.4
218	10.0
219	25.5
220	10.0
221	28.0
222	36.4
223	8.8
224	10.3
225	25.5
226	16.6
227	18.0
228	20.0
229	11.4
230	20.3
231	9.9
232	9.6
233	10.5
234	15.3
235	9.6
236	9.4
237	17.3
238	8.4
239	15.4
240	16.7
241	12.7
242	12.3
243	21.7
244	17.0
245	9.0
246	18.9
247	16.0
248	22.1
249	22.2
250	14.1
251	11.7
252	12.3
253	12.2
254	11.4
255	9.8
256	13.9
257	10.2
258	12.1
259	13.3
260	18.4
261	25.0
262	17.7
263	8.8
264	10.7
265	16.9
266	9.8
267	10.0
268	17.1
269	11.3
270	10.4
271	10.7
272	10.4
273	10.3
274	20.3
275	11.0
276	10.3
277	9.6
278	11.1
279	9.8
280	10.4
281	13.0
282	9.8
283	9.4
284	12.2
285	9.7
286	10.4
287	21.0
288	9.2
289	9.6
290	36.0
291	29.5
292	11.0
293	35.2
294	10.1
295	60.7
296	14.2
297	32.8
298	16.0
299	19.6
300	25.0
301	8.6
302	24.3
303	13.1
304	13.8
305	20.3
306	9.7
307	10.1
308	22.8
309	27.9
310	12.1
311	10.0
312	9.6
313	20.5
314	9.7
315	14.9
316	29.9
317	12.7
318	11.1
319	12.3
320	32.2
321	20.4
322	10.2
323	11.6
324	17.7
325	13.1
326	9.1
327	13.3
328	9.3
329	20.8
330	41.4
331	39.5
332	49.5
333	25.1
334	11.3
335	11.6
336	12.9
337	10.9
338	17.3
339	12.5
340	31.3
341	9.3
342	12.3
343	12.0
344	10.6
345	11.9
346	7.4
347	56.2
348	25.8
349	12.0
350	16.4
351	46.3
352	9.8
353	14.2
354	13.1
355	9.7
356	20.5
357	13.4
358	32.3
359	10.2
360	33.3
361	48.8
362	10.6
363	29.0
364	37.9
365	23.6
366	30.4
367	9.0
368	19.9
369	11.0
370	10.0
371	16.5
372	11.1
373	34.0
374	11.5
375	22.3
376	16.2
377	9.6
378	10.3
379	17.7
380	12.2
381	22.9
382	32.4
383	25.6
384	29.2
385	11.4
386	21.3
387	27.4
388	25.3
389	10.5
390	9.2
391	16.2
392	12.0
393	9.2
394	10.4
395	24.5
396	10.5
397	10.3
398	39.3
399	11.7
400	21.1
401	9.8
402	12.7
