cluster_id	KSLabel
0	mua
1	mua
2	good
3	mua
4	good
5	mua
6	mua
7	good
8	mua
9	mua
10	good
11	good
12	good
13	mua
14	mua
15	mua
16	good
17	good
18	mua
19	mua
20	good
21	good
22	good
23	mua
24	mua
25	good
26	mua
27	mua
28	good
29	good
30	good
31	good
32	mua
33	mua
34	mua
35	good
36	good
37	good
38	mua
39	mua
40	mua
41	good
42	mua
43	good
44	good
45	mua
46	mua
47	mua
48	mua
49	good
50	good
51	good
52	good
53	good
54	good
55	good
56	good
57	mua
58	mua
59	good
60	good
61	mua
62	mua
63	mua
64	mua
65	good
66	good
67	good
68	good
69	good
70	good
71	good
72	good
73	mua
74	mua
75	good
76	good
77	good
78	good
79	mua
80	good
81	good
82	mua
83	mua
84	good
85	good
86	good
87	good
88	mua
89	good
90	good
91	mua
92	good
93	good
94	good
95	mua
96	good
97	good
98	mua
99	mua
100	good
101	good
102	good
103	good
104	good
105	mua
106	good
107	good
108	mua
109	mua
110	mua
111	mua
112	good
113	mua
114	good
115	good
116	mua
117	good
118	good
119	mua
120	good
121	mua
122	good
123	good
124	mua
125	mua
126	good
127	good
128	good
129	good
130	good
131	good
132	good
133	mua
134	mua
135	mua
136	good
137	mua
138	good
139	good
140	good
141	good
142	good
143	mua
144	good
145	good
146	good
147	good
148	good
149	mua
150	good
151	mua
152	good
153	mua
154	mua
155	good
156	good
157	mua
158	mua
159	good
160	mua
161	good
162	mua
163	good
164	mua
165	good
166	good
167	mua
168	good
169	mua
170	good
171	mua
172	good
173	good
174	mua
175	mua
176	good
177	good
178	mua
179	good
180	good
181	good
182	good
183	good
184	good
185	good
186	good
187	mua
188	mua
189	good
190	good
191	good
192	good
193	mua
194	mua
195	good
196	mua
197	good
198	good
199	good
200	mua
201	mua
202	mua
203	good
204	mua
205	good
206	good
207	good
208	good
209	mua
210	good
211	good
212	good
213	good
214	good
215	mua
216	good
217	mua
218	mua
219	good
220	good
221	good
222	good
223	good
224	mua
225	good
226	mua
227	good
228	good
229	good
230	good
231	mua
232	mua
233	mua
234	mua
235	mua
236	good
237	good
238	mua
239	good
240	good
241	mua
242	mua
243	good
244	good
245	mua
246	good
247	good
248	good
249	mua
250	mua
251	mua
252	good
253	good
254	mua
255	mua
256	good
257	mua
258	mua
259	good
260	good
261	good
262	good
263	good
264	mua
265	good
266	good
267	good
268	good
269	good
270	good
271	mua
272	good
273	good
274	good
275	good
276	good
277	good
278	good
279	good
280	good
281	good
282	good
283	mua
284	good
285	good
286	good
287	good
288	good
289	mua
290	good
291	good
292	mua
293	good
294	mua
295	good
296	mua
297	good
298	good
299	good
300	good
301	mua
302	good
303	good
304	good
305	good
306	good
307	good
308	good
309	good
310	good
311	mua
312	good
313	good
314	mua
315	good
316	good
317	good
318	mua
319	mua
320	good
321	mua
322	mua
323	mua
324	mua
325	good
326	mua
327	good
328	mua
329	good
330	good
331	good
332	good
333	good
334	good
335	good
336	good
337	good
338	good
339	good
340	good
341	mua
342	good
343	good
344	mua
345	mua
346	mua
347	good
348	good
349	mua
350	good
351	good
352	mua
353	good
354	good
355	mua
356	mua
357	good
358	good
359	mua
360	good
361	good
362	mua
363	good
364	good
365	good
366	good
367	mua
368	good
369	mua
370	mua
371	good
372	good
373	good
374	mua
375	good
376	good
377	mua
378	mua
379	good
380	good
381	good
382	good
383	good
384	good
385	mua
386	good
387	good
388	good
389	mua
390	good
391	mua
392	good
393	mua
394	mua
395	good
396	mua
397	mua
398	good
399	mua
400	mua
401	mua
402	mua
